,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Paris,Paris,GPE,0.00000000,0.00000000,en,1.00000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Kerzers,Kerzers,GPE,-0.25000000,0.20000000,en,1.00000000,4557996-9,2660170,P,46.97586000,7.19570000,EUROPE,Switzerland,WCE
Zorevunersen,Zorevunersen,GPE,0.23750000,0.63750000,en,1.00000000,,0,,,,,,
Riyadh,Riyadh,GPE,-0.30000000,0.40000000,en,1.00000000,4015384-8,108410,P,24.68773000,46.72185000,ASIA,Saudi Arabia,ARP
Santa Clara,Santa Clara,GPE,0.13333333,0.60000000,en,1.00000000,4779895-6,3537906,P,22.40711000,-79.96581000,CENTRAL-AMERICA,Cuba,CAR
Brindisi,Brindisi,LOC,-0.25000000,0.30000000,en,1.00000000,4080536-0,3181528,P,40.63215000,17.93607000,EUROPE-AFRICA,Italy,MED
Azerbaijan,Azerbaijan,GPE,0.00000000,0.00000000,en,1.00000000,1023252-7,587116,A,40.50000000,47.50000000,ASIA,Azerbaijan,WCA
Blue City,Blue City,GPE,0.00000000,0.10000000,en,1.00000000,7607365-8,5036420,P,44.15906000,-94.00915000,NORTH-AMERICA,United States,CNA
New Jersey,New Jersey,GPE,0.13636364,0.45454545,en,1.00000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
Małopolska,Małopolska,LOC,-0.60000000,0.90000000,en,1.00000000,4098501-5,765306,L,50.33333000,20.00000000,EUROPE,Poland,WCE
the Persian Gulf,the Persian Gulf,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Vanuatu,Vanuatu,GPE,0.00000000,0.00000000,en,1.00000000,4062334-8,2134431,A,-16.33330000,167.50000000,PACIFIC,Vanuatu,SPO
Trójcy,Trójcy,GPE,0.00000000,0.00000000,en,1.00000000,,5141390,S,40.70788000,-74.01208000,NORTH-AMERICA,United States,ENA
Taipei,Taipei,GPE,0.00000000,0.00000000,en,1.00000000,4078134-3,1668341,P,25.05306000,121.52639000,ASIA,Taiwan,EAS
Brussels,Brussels,GPE,0.00000000,0.00000000,en,1.00000000,4008460-7,2800866,P,50.85045000,4.34878000,EUROPE,Belgium,WCE
​​customs,​​customs,GPE,0.22500000,0.42500000,en,1.00000000,,0,,,,,,
Northern Territory,Northern Territory,LOC,0.40000000,0.90000000,en,1.00000000,4042588-5,6638952,,-77.55000000,163.31667000,POLAR,Antarctica,EAN
Katherine,Katherine,GPE,0.40000000,0.90000000,en,1.00000000,,2068655,P,-14.46517000,132.26347000,OCEANIA,Australia,NAU
Emirates,Emirates,GPE,0.00000000,0.00000000,en,1.00000000,4062742-1,290557,A,23.75000000,54.50000000,ASIA,United Arab Emirates,ARP
Puglia,Puglia,GPE,-0.25000000,0.30000000,en,1.00000000,4085139-4,3180792,P,41.21954000,16.06768000,EUROPE-AFRICA,Italy,MED
Votkinsk,Votkinsk,GPE,0.05000000,0.50000000,en,1.00000000,7536952-7,471430,P,57.04867000,53.98720000,EUROPE,Russia,EEU
Chile,Chile,GPE,-0.33333333,0.87500000,en,1.00000000,4009929-5,3895114,A,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Atletico Madrid,Atletico Madrid,GPE,-0.12500000,0.66666667,en,1.00000000,,10345536,S,40.40232000,-3.71993000,EUROPE-AFRICA,Spain,MED
Proszowice,Proszowice,GPE,0.00000000,0.00000000,en,1.00000000,4709824-7,761258,P,50.19275000,20.28909000,EUROPE,Poland,WCE
Berlin,Berlin,GPE,0.00000000,0.00000000,en,1.00000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Berlin-Lichtenberg,Berlin-Lichtenberg,GPE,0.00000000,0.00000000,en,1.00000000,4378254-1,2892811,P,52.48419000,13.53185000,EUROPE,Germany,WCE
Motława River,Motława River,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Tromso,Tromso,GPE,-0.30000000,0.20000000,en,1.00000000,4060994-7,3133895,P,69.64890000,18.95508000,EUROPE,Norway,NEU
Domaniewice,Domaniewice,GPE,-0.03333333,0.43333333,en,1.00000000,,773044,P,51.72084000,20.95659000,EUROPE,Poland,WCE
Tromsoe,Tromsoe,GPE,0.00000000,0.00000000,en,1.00000000,4060994-7,3133895,P,69.64890000,18.95508000,EUROPE,Norway,NEU
Trondheim,Trondheim,GPE,0.00000000,0.00000000,en,1.00000000,4070588-2,3133880,P,63.43049000,10.39506000,EUROPE,Norway,NEU
Radziałów,Radziałów,GPE,-0.37500000,0.37500000,en,1.00000000,,0,,,,,,
Venezuela,Venezuela,GPE,0.00000000,0.00000000,en,1.00000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Greater Poland,Greater Poland,GPE,0.30000000,0.45000000,en,1.00000000,4046868-9,3088171,P,52.40692000,16.92993000,EUROPE,Poland,WCE
canton,canton,GPE,0.00000000,0.00000000,en,1.00000000,4073204-6,1809858,P,23.11667000,113.25000000,ASIA,China,EAS
Valais,Valais,GPE,0.00000000,0.00000000,en,1.00000000,4064466-2,2658205,A,46.22925000,7.45972000,EUROPE,Switzerland,WCE
Polkowice,Polkowice,GPE,0.00000000,0.00000000,en,1.00000000,5336329-2,3088435,P,51.50391000,16.07261000,EUROPE,Poland,WCE
the North Island,the North Island,LOC,-0.50000000,0.70000000,en,1.00000000,4229389-3,4796512,P,17.72751000,-64.74698000,CENTRAL-AMERICA,U.S. Virgin Islands,CAR
Kyiv,Kyiv,GPE,0.00000000,0.00000000,en,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Otwock,Otwock,GPE,0.10000000,0.40000000,en,1.00000000,4351283-5,762788,P,52.10577000,21.26129000,EUROPE,Poland,WCE
Wołomin County,Wołomin County,GPE,0.21428571,0.42857143,en,1.00000000,,754800,P,52.34006000,21.24207000,EUROPE,Poland,WCE
Wronin,Wronin,GPE,0.00000000,0.00000000,en,1.00000000,,3081354,P,50.19064000,18.10341000,EUROPE,Poland,WCE
Havana,Havana,GPE,0.33333333,0.50000000,en,1.00000000,4023865-9,3553478,P,23.13302000,-82.38304000,CENTRAL-AMERICA,Cuba,CAR
the Republic of Poland,the Republic of Poland,GPE,0.00000000,0.00000000,en,1.00000000,4525485-0,3689147,P,10.96854000,-74.78132000,SOUTH-AMERICA,Colombia,NWS
Końskie,Końskie,GPE,0.00000000,0.00000000,en,1.00000000,4476825-4,768218,P,51.19166000,20.40607000,EUROPE,Poland,WCE
Sahara,Sahara,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Coesfeld,Coesfeld,GPE,-0.26000000,0.50000000,en,1.00000000,4010355-9,2939945,P,51.94349000,7.16809000,EUROPE,Germany,WCE
Pasek,Pasek,GPE,0.00000000,0.00000000,en,1.00000000,5290104-X,11694761,P,52.38713000,21.30987000,EUROPE,Poland,WCE
Masuria,Masuria,GPE,0.22222222,0.37777778,en,1.00000000,4001252-9,763166,P,53.78376000,20.49272000,EUROPE,Poland,WCE
Western Europe,Western Europe,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
